Date,F.13-17,F.18-24,F.25-34,F.35-44,F.45-54,F.55-64,F.65+,M.13-17,M.18-24,M.25-34,M.35-44,M.45-54,M.55-64,M.65+,U.25-34,U.35-44,U.45-54
9-1-16,10,369,655,393,138,19,10,1,26,96,46,18,2,3,3,4,1
9-2-16,10,369,656,395,138,19,10,1,26,96,46,18,2,3,3,4,1
9-3-16,10,371,656,395,139,19,10,1,26,96,46,18,2,3,3,4,1
9-4-16,10,374,658,397,142,19,10,1,26,95,46,18,2,3,3,4,1
9-5-16,10,373,658,397,142,19,11,1,24,96,47,18,2,3,3,4,1
9-6-16,10,373,659,400,142,19,12,1,25,96,47,18,2,3,3,4,1
9-7-16,10,375,665,401,142,19,12,1,25,95,48,18,2,3,3,4,1
9-8-16,10,376,667,401,142,19,12,1,26,95,48,18,2,3,3,4,1
9-9-16,10,375,666,401,142,19,12,1,26,95,48,18,2,3,3,4,1
9-10-16,10,375,667,403,140,19,12,1,25,96,47,17,2,3,3,4,1
9-11-16,10,372,664,401,140,19,12,1,25,95,47,17,2,3,3,5,1
9-12-16,10,372,665,401,140,19,12,1,26,95,47,17,2,3,3,5,1
9-13-16,10,373,667,402,140,19,12,1,26,94,47,17,2,3,3,5,1
9-14-16,10,374,673,404,141,19,12,1,26,94,47,17,2,3,3,5,1
9-15-16,10,375,674,404,142,19,12,1,26,94,47,17,2,3,3,5,1
9-16-16,10,375,676,405,142,19,12,1,25,94,47,17,2,3,3,5,1
9-17-16,10,375,678,406,142,19,12,1,25,94,47,17,2,3,3,5,1
9-18-16,10,372,684,406,142,19,12,1,24,93,47,18,2,3,3,5,1
9-19-16,10,373,684,406,142,19,12,1,24,93,47,18,2,3,3,5,1
9-20-16,10,373,683,409,142,19,12,1,24,94,47,18,2,3,3,5,1
9-21-16,10,374,681,412,142,19,12,1,24,95,47,18,2,3,3,5,1
9-22-16,10,374,682,413,141,19,12,1,24,95,47,18,2,3,3,5,1
9-23-16,10,373,684,413,141,19,12,1,24,95,47,18,2,3,3,5,1
9-24-16,10,374,686,414,141,19,12,1,24,95,47,18,2,3,3,5,1
9-25-16,10,369,685,415,140,19,12,1,23,94,46,17,2,3,3,5,1
9-26-16,10,369,688,415,140,19,12,1,23,94,46,17,2,3,3,5,1
9-27-16,10,369,689,413,141,20,12,1,23,94,46,17,2,3,3,5,1
9-28-16,10,369,688,413,141,20,12,1,23,93,46,18,2,3,3,5,1
9-29-16,10,371,689,414,141,20,12,1,23,92,46,18,2,3,3,5,1
9-30-16,10,368,689,416,141,19,13,1,23,92,46,18,2,3,3,5,1
10-1-16,10,366,691,416,141,19,13,1,23,92,46,18,2,3,3,5,1
10-2-16,10,363,690,417,141,19,13,1,24,95,48,19,2,3,3,5,1
10-3-16,10,366,702,424,143,19,14,1,24,95,48,19,3,3,3,5,1
10-4-16,10,367,708,429,143,19,14,1,24,96,48,19,3,3,3,5,1
10-5-16,10,367,713,429,145,19,14,1,24,96,49,18,3,3,3,5,1
10-6-16,10,369,714,430,145,19,14,1,24,96,49,18,3,3,3,5,1
10-7-16,10,367,721,432,145,19,14,1,24,97,50,18,3,3,3,5,1
10-8-16,10,367,721,433,145,19,14,1,24,97,50,18,3,3,3,5,1
10-9-16,10,364,723,435,146,19,14,1,25,97,50,18,3,3,3,5,1
10-10-16,10,366,728,436,146,19,14,1,25,97,50,18,3,3,3,5,1
10-11-16,10,367,728,437,147,19,14,1,26,97,50,18,3,3,3,5,1
10-12-16,10,369,731,440,148,20,14,1,26,96,51,18,3,3,3,5,1
10-13-16,10,369,733,440,148,20,14,1,26,97,51,18,2,4,3,5,1
10-14-16,10,369,737,440,149,20,14,1,26,97,52,18,2,4,3,5,1
10-15-16,10,371,739,442,149,20,14,1,26,97,52,18,2,4,3,5,1
10-16-16,10,372,739,442,148,20,14,1,26,98,52,18,2,4,3,5,1
10-17-16,10,372,743,443,148,20,14,1,26,98,52,18,2,4,3,5,1
10-18-16,10,372,743,444,148,20,14,1,26,98,52,18,2,4,3,5,1
10-19-16,10,372,744,443,149,20,14,1,25,99,52,18,2,4,3,5,1
10-20-16,10,371,742,445,149,20,14,1,25,99,52,18,2,4,3,5,1
10-21-16,10,371,744,445,150,20,14,1,24,100,52,18,2,4,3,5,1
10-22-16,10,371,745,445,151,20,15,1,24,101,52,18,2,4,3,5,1
10-23-16,10,370,749,447,151,20,15,1,24,100,51,18,2,4,3,5,1
10-24-16,10,370,750,447,151,20,15,1,24,100,51,18,2,4,3,5,1
10-25-16,10,370,749,447,151,20,15,1,23,100,51,18,2,4,3,5,1
10-26-16,10,371,751,448,151,20,15,1,23,101,51,18,2,4,3,5,1
10-27-16,10,372,750,448,151,20,15,2,23,101,51,18,2,4,3,5,1
10-28-16,10,372,752,450,151,20,15,2,23,101,51,18,2,4,3,5,1
10-29-16,10,372,751,453,152,20,15,2,23,101,51,18,2,4,3,5,1
10-30-16,10,370,756,454,152,20,15,2,21,101,51,18,2,4,3,5,1
10-31-16,10,369,756,455,151,21,16,2,21,100,51,18,2,4,3,5,1
11-1-16,10,370,757,456,151,21,16,2,21,100,51,18,2,4,3,5,1
11-2-16,10,372,757,457,150,21,16,2,21,100,51,18,2,4,3,5,1
11-3-16,10,372,762,459,151,23,16,2,21,100,51,18,2,4,3,5,1
11-4-16,10,371,764,459,151,23,16,2,21,100,51,18,2,4,3,5,1
11-5-16,10,371,765,459,151,23,16,2,21,99,51,18,2,4,3,5,1
11-6-16,10,368,769,459,151,23,16,2,21,99,51,18,2,4,3,5,1
11-7-16,10,368,770,460,151,23,16,2,21,99,52,18,2,4,3,5,1
11-8-16,10,369,772,460,151,23,16,2,21,99,52,18,2,4,3,5,1
11-9-16,10,369,773,463,151,23,16,2,21,100,52,18,2,4,3,5,1
11-10-16,10,372,774,463,151,23,16,2,21,100,52,17,2,4,3,5,1
11-11-16,10,371,777,463,153,24,16,2,21,100,52,17,2,4,3,5,1
11-12-16,9,373,778,463,154,24,16,2,21,100,52,17,2,4,3,5,1
11-13-16,9,375,784,465,156,24,16,2,22,101,52,17,2,4,3,5,1
11-14-16,9,375,785,465,155,24,16,2,22,102,52,17,2,4,3,5,1
11-15-16,9,376,785,467,155,24,16,2,22,104,52,17,2,4,3,5,1
11-16-16,9,377,786,469,156,24,16,2,22,104,52,17,2,4,3,5,1
11-17-16,9,376,787,468,157,22,16,2,22,103,52,17,2,4,3,5,1
11-18-16,9,376,788,470,157,22,16,2,22,103,52,17,2,4,3,5,1
11-19-16,9,376,789,474,157,22,16,2,22,103,53,17,2,4,3,5,1
11-20-16,9,378,796,475,156,22,16,2,22,104,55,17,2,4,3,5,1
11-21-16,9,382,801,477,156,22,16,2,23,104,57,18,2,4,3,5,1
11-22-16,9,382,805,477,156,22,16,2,24,105,57,18,2,4,3,5,1
11-23-16,9,383,807,480,155,23,16,2,23,105,57,18,2,4,3,5,1
