Date,F.13-17,F.18-24,F.25-34,F.35-44,F.45-54,F.55-64,F.65+,M.13-17,M.18-24,M.25-34,M.35-44,M.45-54,M.55-64,M.65+,U.13-17,U.18-24,U.25-34,U.35-44,U.45-54,U.55-64,U.65+
8-31-16,22,48390,30110,9948,3239,59,37,11,301,767,259,51,18,22,1,3,32,20,3,2,2
9-1-16,20,49969,31249,10369,3245,64,29,15,289,711,255,52,23,24,1,3,24,20,4,2,3
9-2-16,25,49881,30075,10033,3117,60,24,12,196,484,161,48,21,15,,3,17,14,3,2,1
9-3-16,25,50092,29168,10113,3180,63,21,12,183,449,134,44,17,13,,3,17,10,3,1,2
9-4-16,30,49790,29898,10263,3286,62,15,10,161,400,119,43,17,12,,4,11,10,3,1,2
9-5-16,31,48632,30387,10469,3334,73,24,11,184,431,163,65,24,15,,5,14,14,5,1,2
9-6-16,27,47541,31773,10936,3345,146,66,12,228,692,540,159,51,34,1,5,26,40,15,3,2
9-7-16,30,50502,34106,11120,3286,154,67,14,220,724,588,170,55,41,1,4,29,41,16,3,2
9-8-16,39,50224,34412,10538,3078,152,66,11,194,701,575,168,50,38,1,4,31,42,15,4,2
9-9-16,46,53063,36754,10504,3011,148,65,10,179,665,575,163,44,37,1,4,31,42,15,4,2
9-10-16,33,54913,37416,9887,2837,148,66,9,178,660,583,162,44,37,1,4,31,43,14,4,1
9-11-16,35,57553,38108,9546,2649,146,64,8,174,613,584,160,44,37,1,4,30,42,15,3,2
9-12-16,71,58561,37933,9420,2670,144,64,9,240,641,566,155,38,33,1,5,29,41,15,4,2
9-13-16,79,60747,37521,9245,2731,83,22,8,209,402,201,56,18,15,,5,19,19,4,3,2
9-14-16,73,59403,38213,9545,2609,66,17,7,212,414,127,48,12,6,,4,16,14,2,3,3
9-15-16,71,57408,38745,9962,2443,63,23,6,251,579,140,53,12,10,1,4,29,15,2,2,2
9-16-16,70,53240,36475,9809,2241,76,27,6,277,663,179,65,18,17,1,4,34,19,2,2,2
9-17-16,73,49905,34807,9842,2015,77,26,5,268,666,169,66,21,17,1,4,36,19,2,2,2
9-18-16,72,47576,32787,10076,1887,84,30,5,274,690,171,67,22,21,1,4,40,31,3,3,1
9-19-16,29,47596,30334,9832,1467,85,29,4,194,622,163,62,21,21,1,2,41,38,6,3,4
9-20-16,24,49459,30693,9700,1167,86,29,4,185,602,153,62,20,20,1,2,39,40,6,2,4
9-21-16,22,48885,28924,9249,1087,83,29,4,163,535,142,58,19,19,1,2,37,39,6,2,4
9-22-16,22,48823,27431,8982,1091,77,23,5,128,330,113,53,19,15,,2,26,39,6,2,4
9-23-16,29,48969,27705,8670,1046,61,21,4,104,224,68,36,13,8,,2,18,32,6,2,4
9-24-16,20,48075,27662,8416,1047,60,21,3,115,216,69,33,15,9,,2,18,29,7,2,4
9-25-16,17,46283,27411,8508,1050,68,20,4,115,239,72,36,15,8,,2,21,21,5,1,5
9-26-16,15,46296,29892,8734,1052,54,14,8,128,273,70,39,20,10,,2,15,12,2,,2
9-27-16,13,44672,30970,8962,1056,56,12,8,133,287,76,40,18,12,,2,17,11,2,1,2
9-28-16,10,44555,32104,8992,1050,58,12,9,128,288,78,39,19,13,,2,17,12,1,1,2
9-29-16,11,45143,32343,9096,1071,70,15,9,122,305,87,56,22,15,,2,24,17,4,2,2
9-30-16,14,46042,32512,9476,1097,73,13,13,126,317,97,58,21,15,,2,25,23,5,2,2
10-1-16,13,45891,33995,9934,1123,73,14,13,120,326,102,61,21,16,,1,23,24,4,3,2
10-2-16,17,44663,33326,9935,1123,63,13,14,115,304,100,55,21,16,,1,17,25,4,3,
10-3-16,29,45147,35284,11016,1322,124,43,15,211,630,386,117,44,30,1,2,32,41,7,5,3
10-4-16,27,46051,36446,11688,1418,163,62,17,235,811,516,177,67,38,1,2,44,43,7,5,3
10-5-16,37,47290,36195,11937,1461,182,76,17,243,884,593,202,72,43,1,1,45,48,8,6,3
10-6-16,38,47805,36746,11935,1443,181,77,16,246,896,604,197,67,42,1,1,48,47,7,6,4
10-7-16,39,48834,37780,12021,1465,184,78,11,253,927,617,196,70,42,1,2,46,42,6,5,4
10-8-16,40,49121,37081,11984,1442,178,78,11,250,914,610,190,68,41,1,2,45,41,5,4,4
10-9-16,46,48630,36370,11415,1424,175,77,10,250,932,612,196,67,41,1,2,47,43,5,4,4
10-10-16,28,47064,33870,10025,1234,136,49,5,157,645,373,145,46,28,1,1,36,29,4,2,1
10-11-16,18,45665,32116,9020,1138,99,33,2,156,511,237,82,23,19,1,1,28,24,4,1,2
10-12-16,19,47017,34418,10116,1235,86,26,4,189,527,200,77,21,17,,2,29,20,3,3,3
10-13-16,21,48568,36637,11190,1323,78,25,6,199,555,193,74,22,18,,2,28,20,3,3,2
10-14-16,21,47846,37423,11994,1382,78,25,6,191,586,190,74,24,18,,2,28,22,5,3,2
10-15-16,20,48666,38516,12276,1414,83,26,6,189,600,205,79,27,18,,1,29,23,5,3,2
10-16-16,17,48336,38949,12104,1402,82,25,6,189,569,189,70,26,17,,1,26,21,5,2,3
10-17-16,22,45936,37352,11784,1392,76,26,6,193,529,178,66,23,13,,1,27,19,4,3,3
10-18-16,18,44873,36154,11744,1388,73,22,6,174,466,155,62,22,12,,1,25,17,4,3,3
10-19-16,16,42686,33683,10690,1298,57,18,3,123,364,114,44,17,11,,,25,16,4,1,1
10-20-16,21,40308,31289,9514,1218,52,17,1,101,321,203,60,18,11,,1,23,18,5,3,1
10-21-16,13,39082,29380,8309,1128,46,16,1,99,274,197,54,12,11,,1,24,17,4,3,1
10-22-16,15,37466,27414,7596,1064,43,16,1,112,274,185,54,12,14,,1,23,14,6,3,2
10-23-16,15,35042,24529,7288,1081,47,17,1,112,325,197,54,11,13,,1,29,16,6,3,2
10-24-16,13,34997,24863,7335,1081,45,18,1,110,336,195,53,12,12,,,27,16,6,3,2
10-25-16,11,34761,25396,7439,1094,49,18,1,117,347,194,55,12,12,,,27,17,6,3,2
10-26-16,16,34602,25686,7604,1135,57,22,2,143,582,239,64,19,12,,,28,19,6,3,2
10-27-16,16,35553,26983,7885,1123,61,20,4,160,649,166,43,23,11,,,28,14,5,1,2
10-28-16,18,35069,27076,7936,1115,67,20,4,169,664,152,41,25,11,,,30,15,5,1,2
10-29-16,19,35417,28475,8224,1155,64,19,5,167,683,157,43,24,10,,,32,16,3,2,1
10-30-16,20,35966,30209,8679,1187,67,20,6,182,669,173,59,37,13,,,29,17,5,2,
10-31-16,13,35911,31372,9087,1221,67,22,7,187,671,186,63,38,15,,,29,17,5,3,1
11-1-16,24,36855,33514,9487,1236,68,24,7,187,664,186,65,40,17,,,30,16,5,4,1
11-2-16,17,38026,35529,10298,1257,64,22,6,170,485,156,63,37,14,,,26,14,5,4,1
11-3-16,10,39963,39172,12259,1381,80,31,5,179,446,209,87,42,17,,,29,17,5,6,1
11-4-16,12,42364,43186,13991,1462,81,33,4,178,475,250,101,40,16,,,29,17,5,6,2
11-5-16,12,42750,45584,15226,1547,89,35,4,171,467,269,101,42,17,,,31,19,6,5,2
